orderID,barcode,categoryID,name,pricePer,retailPrice,tradePrice,unitID,count
15424368653337229997,6970407210101,9,盆,6,6,2.8,4,1
15424368653337229997,6932163001102,1,钢丝球,2,2,1,4,1
15424368653337229997,6921514941136,1,银河星桥,17,17,7.5,4,1
15424368653337229997,6971002741410,1,女士毛巾,8,8,5.2,4,1
154243686803015449100,6936599800131,1,香飘飘鸡蛋片包,3.5,3.5,0,4,1
154243687356914195763,6902088310900,1,力士香氛宠肤沐浴乳舞媚怡香720ml,38,38,27.8,2,1
154243687356914195763,6907435666983,1,好迪保湿定型啫喱水40ml,8,8,7.4,2,1
154243687356914195763,6938902619324,1,拉芳润肤洗手液柠檬00ml,10,10,5.8,2,1
15424369398163334920,6926475204474,1,喜之郎果粒爽水蜜桃味,3.5,3.5,2.2,7,1
15424369398163334920,6926475204481,1,喜之郎果粒爽红葡萄味,3.5,3.5,2.2,7,1
154243686954917531270,6901028180573,1,软蓝黄鹤楼,19,19,16.5,8,1
15424368365392003794,99999999-1,1,无码商品,15,15,0,0,1
154243687793514199973,6901028126212,1,黄山一品包装,5.5,5.5,4.45,8,1
154243687602419826740,6901028192095,21,白沙天天向上细支包装,15,15,12.93,8,1
154243688185314199091,6901028311151,21,云烟紫包装,11,11,9.1,8,1
154243688235423258757,6901826888138,1,南孚电池5号2粒,5,5,0,0,1
154243688182424073430,6925909960085,10,张新发门店木糖醇槟榔25g,15,15,0,8,1
154243689061921953377,6901028118170,21,利群版包装,14,14,12.29,8,1
15424368946607966519,6902083907150,1,娃哈哈营养快线水果酸奶饮品椰子味,4,4,3.07,2,1
15424368931404993001,6917878131504,1,雀巢脆脆鲨巢巧克力威化饼0,1.4810126582278482,1.5,0,4,2
15424368931404993001,6924160715052,1,无穷酱卤鸭翅92g,9.379746835443038,9.5,0,8,1
15424368931404993001,6952480069692,1,溜溜梅原西梅60g,5.4303797468354436,5.5,0,8,1
15424368931404993001,6924160712617,1,无穷盐焗鸡翅60g,9.379746835443038,9.5,7.8,8,1
15424368931404993001,6945309360339,1,自然派蜜汁猪肉条  65g,11.848101265822786,12,0,8,1
154243688587715131028,6901028075763,1,中华包装,46,46,42,8,1
15424369020126325929,6931273213559,1,食用槟榔（鸿运当头）,15,15,0,4,1
154243689116424378638,6901028191012,1,白沙包装,6,6,0,0,1
154243690900722286212,99999999-1,1,无码商品,3,3,0,0,1
154243688992417996978,6916196422349,1,李子园草莓风味乳饮料450ml,6,6,0,4,1
154243688992417996978,6921468222947,1,好感觉水果糖,5,5,3.15,8,2
154243690966015487777,6901028191166,1,精品白沙条装,80,80,76.32,10,1
154243691233321412202,6935563600265,10,美味鸭掌35g,2,2,1.2,7,1
